"study","platform","subset","target_label","n","rho_orig","rho_lower","rho_upper","yi","vi"
"Discovery (GSE193677)","RNA-Seq","Control","ASC",460,-0.0673898557505306,-0.157846194133597,0.0241880648059613,-0.067492149227152,0.00218818380743982
"Discovery (GSE193677)","RNA-Seq","UC","TAK1",869,-0.53966662869241,-0.585169715295028,-0.490775679990859,-0.603685124932208,0.00115473441108545
"Discovery (GSE193677)","RNA-Seq","UC","NLRP3",869,-0.459052352724647,-0.509987943394432,-0.404908760934962,-0.496109963304324,0.00115473441108545
"Discovery (GSE193677)","RNA-Seq","UC","CASP1",869,-0.351761039399907,-0.408705019990812,-0.292088949627913,-0.367452050121333,0.00115473441108545
"Discovery (GSE193677)","RNA-Seq","UC","NFKB_p65",869,0.246607542638294,0.18310539568993,0.308060342967363,0.251797445591274,0.00115473441108545
"Discovery (GSE193677)","RNA-Seq","UC","ASC",869,0.145880247236184,0.0801526713284218,0.210344726498293,0.146928492917222,0.00115473441108545
"Discovery (GSE193677)","RNA-Seq","UC","FOXC1",869,-0.0742689463911809,-0.140082242908544,-0.00780228328077313,-0.074405952880509,0.00115473441108545
"Discovery (GSE193677)","RNA-Seq","UC","IL1B",869,0.0158827359824248,-0.0506759929891329,0.08230100340795,0.0158840717178242,0.00115473441108545
"Validation #1 (GSE235236)","RNA-Seq","All_samples","NLRP3",56,-0.490225563909774,-0.667146924386447,-0.26095275369382,-0.536357213474768,0.0188679245283019
"Validation #1 (GSE235236)","RNA-Seq","All_samples","CASP1",56,-0.177101845522898,-0.420431287406198,0.089993476069819,-0.178989094684936,0.0188679245283019
"Validation #1 (GSE235236)","RNA-Seq","All_samples","IL1B",56,-0.369241285030759,-0.576210535899369,-0.117768584346472,-0.387544327303091,0.0188679245283019
"Validation #1 (GSE235236)","RNA-Seq","All_samples","ASC",56,0.756049213943951,0.61548319253812,0.850000427101209,0.986927645754095,0.0188679245283019
"Validation #1 (GSE235236)","RNA-Seq","All_samples","TAK1",56,-0.583526999316473,-0.733850485208723,-0.378722537518558,-0.667794140510987,0.0188679245283019
"Validation #1 (GSE235236)","RNA-Seq","All_samples","NFKB_p65",56,0.187423103212577,-0.0793941397667944,0.429180582769233,0.189665113348586,0.0188679245283019
"Validation #1 (GSE235236)","RNA-Seq","All_samples","FOXC1",56,-0.580792891319207,-0.731936179025394,-0.375174426292342,-0.663658369750694,0.0188679245283019
"Validation #1 (GSE235236)","RNA-Seq","Control","NLRP3",8,-0.738095238095238,-0.949118914762648,-0.0696305758026797,-0.94628208417501,0.2
"Validation #1 (GSE235236)","RNA-Seq","Control","CASP1",8,-0.761904761904762,-0.954249433120424,-0.123566626779814,-1.00074000010506,0.2
"Validation #1 (GSE235236)","RNA-Seq","Control","IL1B",8,-0.80952380952381,-0.964181595491008,-0.244079282835536,-1.12564589930325,0.2
"Validation #1 (GSE235236)","RNA-Seq","Control","ASC",8,0.857142857142857,0.385016572132398,0.973698192445812,1.28247467873077,0.2
"Validation #1 (GSE235236)","RNA-Seq","Control","TAK1",8,-0.857142857142857,-0.973698192445812,-0.385016572132398,-1.28247467873077,0.2
"Validation #1 (GSE235236)","RNA-Seq","Control","NFKB_p65",8,0.833333333333333,0.31168351535508,0.968990192344437,1.19894763639918,0.2
"Validation #1 (GSE235236)","RNA-Seq","Control","FOXC1",8,-0.785714285714286,-0.959269142861937,-0.181557801393491,-1.06013176810005,0.2
"Validation #1 (GSE235236)","RNA-Seq","UC","NLRP3",26,-0.459145299145299,-0.718683129511617,-0.087316554097931,-0.496227732047022,0.0434782608695652
"Validation #1 (GSE235236)","RNA-Seq","UC","CASP1",26,0.0105982905982906,-0.378313133806833,0.396329546473914,0.0105986874383316,0.0434782608695652
"Validation #1 (GSE235236)","RNA-Seq","UC","IL1B",26,-0.420854700854701,-0.694925221589274,-0.040020600084936,-0.448730238503559,0.0434782608695652
"Validation #1 (GSE235236)","RNA-Seq","UC","ASC",26,0.585641025641025,0.25646181712723,0.793085566938493,0.671005675593108,0.0434782608695652
"Validation #1 (GSE235236)","RNA-Seq","UC","TAK1",26,-0.368888888888889,-0.661696022904279,0.0215485526503263,-0.387136362686157,0.0434782608695652
"Validation #1 (GSE235236)","RNA-Seq","UC","NFKB_p65",26,-0.0194871794871795,-0.40379742791938,0.370669146255373,-0.0194896468025864,0.0434782608695652
"Validation #1 (GSE235236)","RNA-Seq","UC","FOXC1",26,-0.69982905982906,-0.855322590611986,-0.428679024132475,-0.866965429497743,0.0434782608695652
"Validation #1 (GSE235236)","RNA-Seq","CD","NLRP3",22,-0.669113495200452,-0.850730480837349,-0.344757162284945,-0.80913624624554,0.0526315789473684
"Validation #1 (GSE235236)","RNA-Seq","CD","CASP1",22,-0.359683794466403,-0.678418162577427,0.0730020776519291,-0.376522661070507,0.0526315789473684
"Validation #1 (GSE235236)","RNA-Seq","CD","IL1B",22,-0.594579333709768,-0.812511242581913,-0.230829217369696,-0.684720014782454,0.0526315789473684
"Validation #1 (GSE235236)","RNA-Seq","CD","ASC",22,0.688311688311688,0.375736068506175,0.86027329705252,0.844740310053818,0.0526315789473684
"Validation #1 (GSE235236)","RNA-Seq","CD","TAK1",22,-0.546019198193111,-0.786560364935204,-0.161607659303711,-0.612691868334714,0.0526315789473684
"Validation #1 (GSE235236)","RNA-Seq","CD","NFKB_p65",22,-0.103331451157538,-0.503031561160049,0.332781799541922,-0.103701595397823,0.0526315789473684
"Validation #1 (GSE235236)","RNA-Seq","CD","FOXC1",22,-0.567476002258611,-0.798132765874042,-0.191734490778474,-0.643792075943052,0.0526315789473684
"Validation #2 (GSE75214)","Microarray","All_samples","NLRP3",194,-0.0951239455486023,-0.232880550202828,0.04637490944087,-0.0954124251067106,0.00523560209424084
"Validation #2 (GSE75214)","Microarray","All_samples","CASP1",194,-0.254832705353511,-0.381996365403162,-0.118198663677821,-0.260574395215089,0.00523560209424084
"Validation #2 (GSE75214)","Microarray","All_samples","IL1B",194,-0.0847826176280853,-0.222996550522245,0.0567728683874978,-0.0849866400316737,0.00523560209424084
"Validation #2 (GSE75214)","Microarray","All_samples","ASC",194,-0.0308390823961573,-0.170973675687378,0.110518461803127,-0.03084886447156,0.00523560209424084
