"subset","n","target_label","target_gene","rho","p","q"
"UC_inflamed",293,"FOXC1","FOXC1",-0.21098058831745,0.000275840627834743,0.000643628131614401
"UC_inflamed",293,"NFKB_p65","RELA",0.200189683615744,0.00056683667430158,0.000991964180027765
"UC_inflamed",293,"ASC","PYCARD",0.185334155168449,0.00144005896157561,0.00201608254620585
"UC_inflamed",293,"IL1B","IL1B",-0.176198236553025,0.00247115293953893,0.00288301176279542
"UC_inflamed",293,"CASP1","CASP1",-0.134838048548701,0.0209578593202676,0.0209578593202676
"UC_noninflamed",576,"TAK1","MAP3K7",-0.582623577725868,1.17042293724445e-53,8.19296056071113e-53
"UC_noninflamed",576,"NLRP3","NLRP3",-0.520082071182779,3.12589206459884e-41,1.09406222260959e-40
"UC_noninflamed",576,"CASP1","CASP1",-0.464885590133876,3.17765709332745e-32,7.41453321776405e-32
"UC_noninflamed",576,"NFKB_p65","RELA",0.259906186421521,2.39882697576916e-10,4.19794720759603e-10
"UC_noninflamed",576,"ASC","PYCARD",0.149328862431869,0.000322786945723657,0.00045190172401312
"UC_noninflamed",576,"IL1B","IL1B",0.064327669354231,0.123047398455082,0.143555298197595
"UC_noninflamed",576,"FOXC1","FOXC1",-0.0444037513910527,0.287374082630036,0.287374082630036
