"Epithelial","Immune","Other","sample"
0.786637077907791,0.172061689438136,0.0413012326540722,"MSCCR_reGRID_34_Biopsy_71"
0.856260415893135,0.143739584106864,0,"MSCCR_reGRID_35_Biopsy_73"
0.897359209937618,0.102640790062382,0,"MSCCR_reGRID_35_Biopsy_74"
0.86876419774142,0.13123580225858,0,"MSCCR_reGRID_35_Biopsy_75"
0.857830605727032,0.142169394272968,0,"MSCCR_reGRID_36_Biopsy_76"
0.918247713907933,0.0817522860920669,0,"MSCCR_reGRID_36_Biopsy_77"
0.811190734757995,0.176780108946202,0.0120291562958031,"MSCCR_reGRID_37_Biopsy_78"
0.826734812095098,0.163956955100165,0.00930823280473614,"MSCCR_reGRID_37_Biopsy_80"
0.827911529174301,0.164920577372493,0.00716789345320556,"MSCCR_reGRID_37_Biopsy_79"
0.826697439612207,0.173302560387793,0,"MSCCR_reGRID_38_Biopsy_81"
0.871999396167163,0.128000603832837,0,"MSCCR_reGRID_39_Biopsy_84"
0.876038450991461,0.123961549008539,0,"MSCCR_reGRID_39_Biopsy_82"
0.859081733747735,0.140918266252264,0,"MSCCR_reGRID_39_Biopsy_83"
0.876708912624244,0.0994705659964857,0.0238205213792696,"MSCCR_reGRID_41_Biopsy_85"
0.874249777841801,0.125750222158199,0,"MSCCR_reGRID_42_Biopsy_88"
0.849333710937875,0.150666289062124,0,"MSCCR_reGRID_42_Biopsy_86"
0.597248983109693,0.402751016890307,0,"MSCCR_reGRID_42_Biopsy_87"
0.79530162582024,0.170085991557606,0.0346123826221547,"MSCCR_reGRID_43_Biopsy_90"
0.901541507759242,0.0927701772373879,0.0056883150033693,"MSCCR_reGRID_43_Biopsy_89"
0.874734962735864,0.108140233665816,0.0171248035983197,"MSCCR_reGRID_43_Biopsy_91"
0.795638190310831,0.166583242790936,0.0377785668982325,"MSCCR_reGRID_47_Biopsy_93"
0.891831135915947,0.105694312045445,0.00247455203860791,"MSCCR_reGRID_47_Biopsy_92"
0.787396669630379,0.212603330369621,0,"MSCCR_reGRID_48_Biopsy_94"
0.800378806819297,0.199621193180703,0,"MSCCR_reGRID_48_Biopsy_95"
0.723819104183875,0.276180895816125,0,"MSCCR_reGRID_48_Biopsy_96"
0.726089398865894,0.273910601134106,0,"MSCCR_reGRID_50_Biopsy_97"
0.887970674575623,0.112029325424377,0,"MSCCR_reGRID_50_Biopsy_98"
0.862009568566793,0.1006926820028,0.0372977494304071,"MSCCR_reGRID_51_Biopsy_99"
0.896363688579436,0.0840373529666181,0.0195989584539465,"MSCCR_reGRID_51_Biopsy_100"
0.899665076789378,0.0893317117481672,0.0110032114624545,"MSCCR_reGRID_51_Biopsy_101"
0.722680394794432,0.277319605205568,0,"MSCCR_reGRID_52_Biopsy_102"
0.937317217247124,0.0312275078182729,0.0314552749346033,"MSCCR_reGRID_52_Biopsy_103"
0.911400652604754,0.0885993473952461,0,"MSCCR_reGRID_53_Biopsy_104"
0.905333050338372,0.0942794105782225,0.000387539083405941,"MSCCR_reGRID_53_Biopsy_105"
0.775477099950415,0.19796444711517,0.0265584529344144,"MSCCR_reGRID_54_Biopsy_108"
0.80416660211405,0.163906609817792,0.031926788068158,"MSCCR_reGRID_54_Biopsy_107"
0.888636845049766,0.106378639864842,0.0049845150853921,"MSCCR_reGRID_54_Biopsy_106"
0.887147539128411,0.112852460871589,0,"MSCCR_reGRID_55_Biopsy_109"
0.702870961552359,0.297129038447641,0,"MSCCR_reGRID_55_Biopsy_110"
0.840853612864096,0.141786561945679,0.0173598251902248,"MSCCR_reGRID_55_Biopsy_111"
0.826099067098003,0.172930527753923,0.000970405148073783,"MSCCR_reGRID_56_Biopsy_112"
0.855538527970628,0.123090699534928,0.021370772494444,"MSCCR_reGRID_56_Biopsy_113"
0.847706379672632,0.141626407335473,0.0106672129918947,"MSCCR_reGRID_56_Biopsy_114"
0.804250522645614,0.179248565967782,0.0165009113866047,"MSCCR_reGRID_57_Biopsy_115"
0.762174337211135,0.237825662788865,0,"MSCCR_reGRID_57_Biopsy_116"
0.758103064196947,0.239380951006448,0.00251598479660425,"MSCCR_reGRID_58_Biopsy_117"
0.838695734485826,0.149911165829694,0.0113930996844799,"MSCCR_reGRID_58_Biopsy_118"
0.782998517962038,0.19270933354616,0.0242921484918021,"MSCCR_reGRID_59_Biopsy_120"
0.914601107127131,0.0840387642197011,0.00136012865316737,"MSCCR_reGRID_59_Biopsy_119"
0.88612454358209,0.0979325053482297,0.0159429510696794,"MSCCR_reGRID_59_Biopsy_121"
0.810070196795642,0.149418708986213,0.0405110942181451,"MSCCR_reGRID_63_Biopsy_122"
0.796440609104049,0.169595858703017,0.0339635321929339,"MSCCR_reGRID_63_Biopsy_123"
0.885214396619997,0.114785603380003,0,"MSCCR_reGRID_64_Biopsy_124"
0.889948925445099,0.110051074554901,0,"MSCCR_reGRID_64_Biopsy_125"
0.828544657808489,0.166559679394455,0.00489566279705644,"MSCCR_reGRID_64_Biopsy_126"
0.837917927514241,0.143506300164919,0.0185757723208401,"MSCCR_reGRID_65_Biopsy_127"
0.824808045033736,0.162273175660952,0.0129187793053117,"MSCCR_reGRID_65_Biopsy_128"
0.760574084336129,0.239425915663871,0,"MSCCR_reGRID_65_Biopsy_129"
