"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
9.4812189177518e-227,4.59248566735007,0.528,0.032,1.83319367774731e-222,"Epithelial","SLC44A4"
2.99139336694658e-226,4.23966605458392,0.55,0.068,5.7838590749912e-222,"Epithelial","KRT20"
1.01516223372734e-225,2.56816313385205,0.621,0.155,1.96281617891182e-221,"Epithelial","UQCRC1"
1.80116835192859e-225,1.76212188584916,0.749,0.367,3.48255900845392e-221,"Epithelial","HSPB1"
8.86562542653126e-225,2.39900201460762,0.648,0.199,1.71416867621982e-220,"Epithelial","H2AFJ"
9.25398022280412e-225,1.71947058985352,0.722,0.325,1.78925707607918e-220,"Epithelial","NDUFS6"
5.26693943367118e-222,3.5417160037304,0.556,0.074,1.01836273950032e-217,"Epithelial","STARD10"
1.59361454387926e-220,2.8679581882419,0.594,0.113,3.08125372059056e-216,"Epithelial","RHOB"
2.55429799678024e-219,1.54087758631059,0.759,0.394,4.9387351767746e-215,"Epithelial","LAMTOR4"
1.68871868834179e-218,4.90105616757253,0.513,0.03,3.26513758390886e-214,"Epithelial","PCK1"
1.07161422698901e-216,2.10284652438074,0.689,0.258,2.07196610788324e-212,"Epithelial","AREG"
1.59533372849175e-215,3.10430946807291,0.581,0.128,3.08457776403879e-211,"Epithelial","MUC12"
1.8494764900791e-213,4.10353499047459,0.529,0.056,3.57596279356794e-209,"Epithelial","SPINK1"
1.05122014714582e-212,3.20216521642717,0.566,0.111,2.03253415450644e-208,"Epithelial","AGPAT2"
1.17257152916849e-211,3.87469568002507,0.536,0.07,2.26716705164727e-207,"Epithelial","ADIRF"
2.33413512131202e-208,1.86730211769126,0.676,0.254,4.51305025705678e-204,"Epithelial","DSTN"
1.75230174221077e-207,1.64613985988117,0.704,0.277,3.38807541856452e-203,"Epithelial","FKBP2"
2.35895954061542e-207,3.50383817540298,0.539,0.077,4.56104827177992e-203,"Epithelial","ID1"
2.23667401002758e-202,1.53809596627331,0.745,0.422,4.32460919838833e-198,"Epithelial","BLOC1S1.1"
8.21695559429364e-201,2.10531122223147,0.631,0.206,1.58874836415668e-196,"Epithelial","ALKBH7"
7.52197909620122e-200,0.557723588706231,0.984,0.988,1.45437465825051e-195,"Epithelial","MT-ND2"
8.45182351960484e-200,2.2198438350906,0.617,0.2,1.6341600775156e-195,"Epithelial","ACTN4"
1.87498986313449e-198,2.16098485545251,0.616,0.2,3.62529290037054e-194,"Epithelial","ACADVL"
7.11547002152648e-198,0.514466385470961,0.992,0.959,1.37577612866215e-193,"Epithelial","GAPDH"
3.97188033432081e-197,3.96483657008158,0.5,0.05,7.67963062640928e-193,"Epithelial","CES2"
1.21591733919248e-195,2.55323627485512,0.579,0.127,2.35097617532866e-191,"Epithelial","EGR1"
1.00733399428769e-193,4.11645208197974,0.493,0.047,1.94768027795526e-189,"Epithelial","ARL14"
2.10428343642148e-193,4.13208347852884,0.492,0.048,4.06863202432093e-189,"Epithelial","CDHR5"
8.20480208646723e-190,1.36996775374074,0.746,0.432,1.58639848341844e-185,"Epithelial","UQCR10"
1.1328857125324e-189,1.72086788150455,0.69,0.345,2.19043452518139e-185,"Epithelial","MT-ND4L"
6.43403965676338e-189,1.98147012874005,0.642,0.274,1.2440215676352e-184,"Epithelial","CLTB"
7.75479429456823e-189,1.38342357769685,0.763,0.322,1.49938947685477e-184,"Epithelial","LMNA"
1.31894494984833e-188,4.1878240068797,0.485,0.049,2.55018006053175e-184,"Epithelial","SDCBP2"
1.36002795746829e-188,1.18896334855532,0.786,0.508,2.62961405576494e-184,"Epithelial","C14orf2"
2.16499334525623e-188,0.59656723807985,0.98,0.922,4.18601463305292e-184,"Epithelial","ACTG1"
3.67322279137158e-188,3.01592130910667,0.524,0.095,7.10217626711695e-184,"Epithelial","CISD3"
3.53531632505518e-186,2.56317135679223,0.556,0.138,6.83553411449419e-182,"Epithelial","TXNDC17"
1.69684730296045e-181,4.18946514908908,0.465,0.037,3.28085426027402e-177,"Epithelial","CAMK2N1"
2.11388357083496e-180,3.16100049417563,0.508,0.083,4.0871938842094e-176,"Epithelial","ATP1B1"
4.52522673476132e-179,1.55909588643048,0.685,0.324,8.74952589166101e-175,"Epithelial","NDUFB10"
3.70405500389592e-178,4.57177715374063,0.467,0.051,7.16179035003276e-174,"Epithelial","CA1"
3.90076865437296e-178,2.63798529109617,0.536,0.121,7.54213619323011e-174,"Epithelial","MPST"
6.99648778192576e-177,4.04604509255164,0.462,0.039,1.35277091263535e-172,"Epithelial","MGST1"
1.1573271071144e-176,3.17283087214965,0.52,0.111,2.23769196160569e-172,"Epithelial","PLA2G2A"
2.42793448918525e-176,4.36695280024268,0.453,0.032,4.69441133483969e-172,"Epithelial","TST"
6.88395525378302e-171,4.75773291085928,0.446,0.036,1.33101274831895e-166,"Epithelial","PRAP1"
1.27086493830871e-170,2.07786826037894,0.583,0.207,2.45721735821989e-166,"Epithelial","ETFB"
1.57300678010722e-170,1.9932523950135,0.604,0.227,3.04140860933731e-166,"Epithelial","ATP5G1"
5.32046611464519e-170,2.60724897615777,0.526,0.111,1.02871212326665e-165,"Epithelial","TSC22D1"
5.43817310968726e-170,1.46136018442905,0.711,0.387,1.05147077075803e-165,"Epithelial","CTSD"
2.7589302102062e-169,1.27843043895207,0.73,0.45,5.33439156143369e-165,"Epithelial","ATP5B"
3.21134701238996e-169,0.585805543067229,0.972,0.974,6.20913944845599e-165,"Epithelial","MT-ND3"
6.28913082567356e-169,1.8237555737113,0.62,0.261,1.21600344514398e-164,"Epithelial","MRPL41"
1.11305395090318e-168,0.591167504731048,0.974,0.899,2.15208981407129e-164,"Epithelial","RPS26"
1.74457100266046e-167,3.98302892980305,0.444,0.037,3.37312803364399e-163,"Epithelial","ST14"
9.86875644173077e-166,1.64473997655118,0.66,0.319,1.90812405800864e-161,"Epithelial","MTATP6P1"
7.6862424606191e-165,3.4209199109279,0.475,0.074,1.4861349797607e-160,"Epithelial","NUPR1"
1.49788603399609e-164,4.99736728663784,0.418,0.016,2.89616264673144e-160,"Epithelial","RND3"
8.4758495818647e-164,1.57257375888129,0.651,0.311,1.63880551665354e-159,"Epithelial","NDUFS7"
6.82336123288077e-163,2.65779363473478,0.504,0.099,1.3192968943775e-158,"Epithelial","PDLIM1"
1.88593816334033e-162,1.04474427194394,0.805,0.548,3.64646143881852e-158,"Epithelial","GSTP1"
2.43667981348328e-162,1.29255904149442,0.73,0.462,4.71132041936991e-158,"Epithelial","CSTB"
3.72068705391885e-162,4.40642739159312,0.428,0.031,7.19394841875211e-158,"Epithelial","GPA33"
4.76632337474609e-162,3.74629435675348,0.442,0.039,9.21568624507156e-158,"Epithelial","DSP"
1.58907741054467e-161,1.60230679624928,0.639,0.295,3.07248117328812e-157,"Epithelial","NDUFB1"
6.04937872349369e-161,2.86453348410978,0.489,0.089,1.1696473761875e-156,"Epithelial","FCGRT"
3.93262890451396e-160,3.79744185275207,0.438,0.043,7.60373798687774e-156,"Epithelial","KLF5"
2.76697450833128e-159,3.21292701876517,0.498,0.122,5.34994521185853e-155,"Epithelial","RN7SK"
1.43137300451289e-158,4.25342308917272,0.425,0.035,2.76755970422567e-154,"Epithelial","HSD11B2"
6.98462348612097e-158,2.12444060462871,0.548,0.175,1.35047695104149e-153,"Epithelial","NDUFB3"
1.43648326293839e-157,1.30176417665952,0.717,0.427,2.77744038889138e-153,"Epithelial","RAC1"
3.00700352953345e-157,2.83935194768373,0.475,0.073,5.81404132435292e-153,"Epithelial","MARCKS"
1.79998703899566e-156,2.95735891521132,0.47,0.084,3.48027493989812e-152,"Epithelial","BLVRB"
6.18751534945694e-154,4.1523536773199,0.415,0.031,1.1963560928175e-149,"Epithelial","SERINC2"
7.25668979942818e-153,4.34383351356822,0.41,0.028,1.40308097271944e-148,"Epithelial","VSIG2"
2.700856591036e-151,3.67399768935904,0.479,0.117,5.22210621876811e-147,"Epithelial","GUCA2A"
8.41026988843252e-150,1.29955464439078,0.681,0.396,1.62612568292843e-145,"Epithelial","ATP5J2"
2.33849699767868e-149,2.17212586455178,0.531,0.165,4.52148394501173e-145,"Epithelial","STRA13"
7.44828357734848e-148,3.87242763639884,0.431,0.064,1.44012562968033e-143,"Epithelial","S100P"
5.61346923884914e-146,3.95614336264443,0.44,0.081,1.08536427733148e-141,"Epithelial","SLC26A3"
1.21782820218521e-144,2.28237541802573,0.51,0.151,2.35467082892511e-140,"Epithelial","MRPL12"
